country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/15/2020,-2,0,-12,-3,1,1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/16/2020,7,4,22,8,2,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/17/2020,8,3,24,10,3,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/18/2020,1,3,12,-27,-2,1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/19/2020,5,5,17,8,4,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/20/2020,8,2,7,4,4,-2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/21/2020,-4,-5,-2,1,1,1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/22/2020,-5,-4,-12,-6,2,2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/23/2020,7,7,22,6,4,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/24/2020,5,3,27,8,3,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/25/2020,1,4,13,5,3,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/26/2020,2,12,15,5,3,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/27/2020,3,22,8,7,3,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/28/2020,0,18,7,8,1,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2/29/2020,2,20,19,1,1,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/1/2020,22,31,84,-1,5,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/2/2020,11,-57,152,-14,-67,4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/3/2020,-4,7,5,5,2,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/4/2020,-3,4,0,0,4,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/5/2020,0,7,11,4,4,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/6/2020,-2,4,9,-1,3,1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/7/2020,-4,2,5,-6,2,2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/8/2020,-4,2,5,-7,2,3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/9/2020,-10,1,-9,-10,-1,2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/10/2020,-6,13,1,-5,1,1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/11/2020,-6,16,13,-13,-11,4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/12/2020,-12,21,15,-17,-14,5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/13/2020,-25,29,6,-26,-19,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/14/2020,-54,11,1,-35,-26,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/15/2020,-69,-14,-25,-48,-37,14
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/16/2020,-53,-2,-28,-51,-39,16
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/17/2020,-54,-14,-25,-52,-44,17
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/18/2020,-64,-20,-22,-59,-48,19
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/19/2020,-65,-15,-23,-60,-49,20
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,3/20/2020,-67,-12,-26,-61,-50,22
